word1	word2	tier	diff
กาว	ดาว	easy	sub@1:ก→ด
กาว	ยาว	easy	sub@1:ก→ย
ดาว	ยาว	easy	sub@1:ด→ย
ยาย	ยาว	easy	sub@3:ย→ว
เรือ	เสือ	easy	sub@2:รื→สื
งา	ช้า	easy	sub@1:ง→ช้
งา	ตา	easy	sub@1:ง→ต
งา	นา	easy	sub@1:ง→น
ช้า	ตา	easy	sub@1:ช้→ต
ช้า	นา	easy	sub@1:ช้→น
ดิน	ฝน	easy	sub@1:ดิ→ฝ
ตา	นา	easy	sub@1:ต→น
นก	นม	easy	sub@2:ก→ม
นก	นา	easy	sub@2:ก→า
นก	ผัก	easy	sub@1:น→ผั
นก	ลูก	easy	sub@1:น→ลู
นม	นา	easy	sub@2:ม→า
นม	ลม	easy	sub@1:น→ล
ผัก	ลูก	easy	sub@1:ผั→ลู
มด	วัด	easy	sub@1:ม→วั
ลิง	สูง	easy	sub@1:ลิ→สู
วัด	วัว	easy	sub@2:ด→ว
หนู	หมี	easy	sub@2:นู→มี
หนู	หมู	easy	sub@2:นู→มู
หมี	หมู	easy	sub@2:มี→มู
งู	ดี	easy	sub@1:งู→ดี
งู	น้ำ	easy	sub@1:งู→น้ำ
งู	ปู	easy	sub@1:งู→ปู
งู	ปู่	easy	sub@1:งู→ปู่
ดี	น้ำ	easy	sub@1:ดี→น้ำ
ดี	ปู	easy	sub@1:ดี→ปู
ดี	ปู่	easy	sub@1:ดี→ปู่
น้ำ	ปู	easy	sub@1:น้ำ→ปู
น้ำ	ปู่	easy	sub@1:น้ำ→ปู่
ปู	ปู่	easy	sub@1:ปู→ปู่
ฟ้า	สีฟ้า	medium	ins@1:+สี
บ้าน	ร้าน	medium	sub@1:บ้→ร้
เนื้อ	เสื้อ	medium	sub@2:นื้→สื้
กุ้ง	ผึ้ง	medium	sub@1:กุ้→ผึ้
ป่า	ฟ้า	medium	sub@1:ป่→ฟ้
ป่า	ม้า	medium	sub@1:ป่→ม้
ป่า	ย่า	medium	sub@1:ป่→ย่
ฟ้า	ม้า	medium	sub@1:ฟ้→ม้
ฟ้า	ย่า	medium	sub@1:ฟ้→ย่
ม้า	ย่า	medium	sub@1:ม้→ย่
ไก่	ไข่	medium	sub@2:ก่→ข่
ไก่	ไร่	medium	sub@2:ก่→ร่
ไข่	ไร่	medium	sub@2:ข่→ร่
น้อง	ห้อง	hard	sub@1:น้→ห้
สวน	สวย	hard	sub@3:น→ย
